"Time","481714f496e4","6f2c053265f6","78034b84ad0f","8d2d383ac982"
1592665610000,75815304.00000001,75815308,75815308,
1592665610200,,,,
1592665610400,,,,
1592665610600,,,,
1592665610800,,,,
1592665611000,,,,
1592665611200,,,,
1592665611400,,,,
1592665611600,,,,
1592665611800,,,,
1592665612000,,,,75815308
1592665612200,,,,
1592665612400,,,,
1592665612600,,,,
1592665612800,,,,
1592665613000,,,,
1592665613200,,,,
1592665613400,,,,
1592665613600,,,,
1592665613800,,,,
1592665614000,,,,
1592665614200,,,,
1592665614400,,,,
1592665614600,,,,
1592665614800,,,,
1592665615000,,75815188.00000001,75815188.00000001,
1592665615200,,,,
1592665615400,,,,
1592665615600,,,,
1592665615800,,,,
1592665616000,75815184,,,
1592665616200,,,,
1592665616400,,,,
1592665616600,,,,
1592665616800,,,,
1592665617000,,,,75815176.00000001
1592665617200,,,,
1592665617400,,,,
1592665617600,,,,
1592665617800,,,,
1592665618000,,,,
1592665618200,,,,
1592665618400,,,,
1592665618600,,,,
1592665618800,,,,
1592665619000,,,,
1592665619200,,,,
1592665619400,,,,
1592665619600,,,,
1592665619800,,,,
1592665620000,,75815112,75815112,
1592665620200,,,,
1592665620400,,,,
1592665620600,,,,
1592665620800,,,,
1592665621000,75815112,,,
1592665621200,,,,
1592665621400,,,,
1592665621600,,,,
1592665621800,,,,
1592665622000,,,,75815104.00000001
1592665622200,,,,
1592665622400,,,,
1592665622600,,,,
1592665622800,,,,
1592665623000,,,,
1592665623200,,,,
1592665623400,,,,
1592665623600,,,,
1592665623800,,,,
1592665624000,,,,
1592665624200,,,,
1592665624400,,,,
1592665624600,,,,
1592665624800,,,,
1592665625000,,,,
1592665625200,,,,
1592665625400,,,,
1592665625600,,,,
1592665625800,,,,
1592665626000,75815012.00000001,75815016,75815012.00000001,
1592665626200,,,,
1592665626400,,,,
1592665626600,,,,
1592665626800,,,,
1592665627000,,,,75814980.00000001
1592665627200,,,,
1592665627400,,,,
1592665627600,,,,
1592665627800,,,,
1592665628000,,,,
1592665628200,,,,
1592665628400,,,,
1592665628600,,,,
1592665628800,,,,
1592665629000,,,,
1592665629200,,,,
1592665629400,,,,
1592665629600,,,,
1592665629800,,,,
1592665630000,,,,
1592665630200,,,,
1592665630400,,,,
1592665630600,,,,
1592665630800,,,,
1592665631000,75814916.00000001,75814916.00000001,75814916.00000001,
1592665631200,,,,
1592665631400,,,,
1592665631600,,,,
1592665631800,,,,
1592665632000,,,,75814912.00000001
1592665632200,,,,
1592665632400,,,,
1592665632600,,,,
1592665632800,,,,
1592665633000,,,,
1592665633200,,,,
1592665633400,,,,
1592665633600,,,,
1592665633800,,,,
1592665634000,,,,
1592665634200,,,,
1592665634400,,,,
1592665634600,,,,
1592665634800,,,,
1592665635000,,,,
1592665635200,,,,
1592665635400,,,,
1592665635600,,,,
1592665635800,,,,
1592665636000,75814856.00000001,,75814856.00000001,
1592665636200,,,,
1592665636400,,,,
1592665636600,,,,
1592665636800,,,,
1592665637000,,,,
1592665637200,,,,
1592665637400,,,,
1592665637600,,,,
1592665637800,,,,
1592665638000,,,,75814848
1592665638200,,,,
1592665638400,,,,
1592665638600,,,,
1592665638800,,,,
1592665639000,,,,
1592665639200,,,,
1592665639400,,,,
1592665639600,,,,
1592665639800,,,,
1592665640000,,,,
1592665640200,,,,
1592665640400,,,,
1592665640600,,,,
1592665640800,,,,
1592665641000,75815312.00000001,,75815316.00000001,
1592665641200,,,,
1592665641400,,,,
1592665641600,,,,
1592665641800,,,,
1592665642000,,,,
1592665642200,,,,
1592665642400,,,,
1592665642600,,,,
1592665642800,,,,
1592665643000,,,,75815256.00000001
1592665643200,,,,
1592665643400,,,,
1592665643600,,,,
1592665643800,,,,
1592665644000,,,,
1592665644200,,,,
1592665644400,,,,
1592665644600,,,,
1592665644800,,,,
1592665645000,,,,
1592665645200,,,,
1592665645400,,,,
1592665645600,,,,
1592665645800,,,,
1592665646000,75815244.00000001,,75815248,
1592665646200,,,,
1592665646400,,,,
1592665646600,,,,
1592665646800,,,,
1592665647000,,,,
1592665647200,,,,
1592665647400,,,,
1592665647600,,,,
1592665647800,,,,
1592665648000,,,,75815240.00000001
1592665648200,,,,
1592665648400,,,,
1592665648600,,,,
1592665648800,,,,
1592665649000,,,,
1592665649200,,,,
1592665649400,,,,
1592665649600,,,,
1592665649800,,,,
1592665650000,,,,
1592665650200,,,,
1592665650400,,,,
1592665650600,,,,
1592665650800,,,,
1592665651000,,,75815228.00000001,
1592665651200,,,,
1592665651400,,,,
1592665651600,,,,
1592665651800,,,,
1592665652000,75815224.00000001,,,
1592665652200,,,,
1592665652400,,,,
1592665652600,,,,
1592665652800,,,,
1592665653000,,,,75815220
1592665653200,,,,
1592665653400,,,,
1592665653600,,,,
1592665653800,,,,
1592665654000,,,,
1592665654200,,,,
1592665654400,,,,
1592665654600,,,,
1592665654800,,,,
1592665655000,,,,
1592665655200,,,,
1592665655400,,,,
1592665655600,,,,
1592665655800,,,,
1592665656000,,,,
1592665656200,,,,
1592665656400,,,,
1592665656600,,,,
1592665656800,,,,
1592665657000,75815064.00000001,,,
1592665657200,,,,
1592665657400,,,,
1592665657600,,,,
1592665657800,,,,
1592665658000,,,,75814984.00000001
1592665658200,,,,
1592665658400,,,,
1592665658600,,,,
1592665658800,,,,
1592665659000,,,75814984.00000001,
1592665659200,,,,
1592665659400,,,,
1592665659600,,,,
1592665659800,,,,
1592665660000,,,,
1592665660200,,,,
1592665660400,,,,
1592665660600,,,,
1592665660800,,,,
1592665661000,,,,
1592665661200,,,,
1592665661400,,,,
1592665661600,,,,
1592665661800,,,,
1592665662000,75814916.00000001,,,
1592665662200,,,,
