"Time","id","nodes","nr"
1592505406000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505412000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505426000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505432000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505440000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505456000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505462000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505467000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505475000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505480000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505494000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505503000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505509000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592505515000,192.168.1.165,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
