"Time","192.168.1.165","192.168.1.179","192.168.1.200","192.168.1.206"
1592505489500,,,,
1592505490000,,40016,,33376
1592505490500,,,,
1592505491000,,,45344,
1592505491500,,,,
1592505492000,,,,
1592505492500,,,,
1592505493000,,,,
1592505493500,,,,
1592505494000,50240,,,
1592505494500,,,,
1592505495000,,50896,,43936
1592505495500,,,,
1592505496000,,,,
1592505496500,,,,
1592505497000,,,28816,
1592505497500,,,,
1592505498000,,,,
1592505498500,,,,
1592505499000,,,,
1592505499500,,,,
1592505500000,,,,
1592505500500,,,,
1592505501000,,34576,,25904
1592505501500,,,,
1592505502000,,,44560,
1592505502500,,,,
1592505503000,51328,,,
1592505503500,,,,
1592505504000,,,,
1592505504500,,,,
1592505505000,,,,
1592505505500,,,,
1592505506000,,44816,,38176
1592505506500,,,,
1592505507000,,,,
1592505507500,,,,
1592505508000,75200,,26016,
1592505508500,,,,
1592505509000,,,,
1592505509500,,,,
1592505510000,,,,
1592505510500,,,,
1592505511000,,,,
1592505511500,,,,
1592505512000,,28224,,49376
1592505512500,,,,
1592505513000,,,40496,
1592505513500,,,,
1592505514000,,,,
1592505514500,,,,
1592505515000,61952,,,
1592505515500,,,,
1592505516000,,,,
1592505516500,,,,
1592505517000,,43264,,32768
1592505517500,,,,
1592505518000,,,52016,
1592505518500,,,,
1592505519000,,,,
1592505519500,,,,
1592505520000,,,,
1592505520500,,,,
1592505521000,,,,
1592505521500,,,,
1592505522000,,,,47664
1592505522500,,,,
1592505523000,,28736,,
1592505523500,,,,
1592505524000,,,35424,
1592505524500,,,,
1592505525000,,,,
1592505525500,,,,
1592505526000,,,,
1592505526500,,,,
1592505527000,,,,
1592505527500,,,,
1592505528000,,40272,,29120
1592505528500,,,,
1592505529000,,,46304,
1592505529500,,,,
1592505530000,,,,
1592505530500,,,,
1592505531000,,,,
1592505531500,,,,
1592505532000,59232,,,
1592505532500,,,,
1592505533000,,,,41056
1592505533500,,,,
1592505534000,,53008,,
1592505534500,,,,
1592505535000,,,30656,
1592505535500,,,,
1592505536000,,,,
1592505536500,,,,
1592505537000,,,,
1592505537500,,,,
1592505538000,56432,,,
1592505538500,,,,
1592505539000,,34832,,51296
1592505539500,,,,
1592505540000,,,42464,
1592505540500,,,,
1592505541000,,,,
1592505541500,,,,
1592505542000,,,,
1592505542500,,,,
1592505543000,,,,
1592505543500,,,,
1592505544000,91696,,,35232
1592505544500,,,,
1592505545000,,45392,,
1592505545500,,,,
1592505546000,,,53344,
1592505546500,,,,
1592505547000,,,,
1592505547500,,,,
1592505548000,,,,
1592505548500,,,,
1592505549000,,,,
1592505549500,,,,
1592505550000,,27360,,43968
1592505550500,,,,
1592505551000,,,37984,
1592505551500,,,,
1592505552000,,,,
1592505552500,,,,
1592505553000,,,,
1592505553500,,,,
1592505554000,,,,
