"Time","id","nodes","nr"
1591870555000,aece112a7432,if:d4955efe0ac02 if:dcbf042f1eec2 and:31f4cfe39a54d8 and:11f696511865e2 if:344a5685804e9a if:71e25fa1b84f3 if:4429824b7c6064 if:f309eefc2cb3f and:64264d2c5c973c,9
1591870421000,d608eb37d412,,1
1591870426000,d608eb37d412,,1
1591870432000,d608eb37d412,,1
1591870437000,d608eb37d412,,1
1591870442000,d608eb37d412,,1
1591870447000,d608eb37d412,,1
1591870452000,d608eb37d412,,1
1591870457000,d608eb37d412,,1
1591870463000,d608eb37d412,temperature-humidity:947674cf94d418 if:f07f579e7ef8a and:efb07f53979d18 mqttout:e7cedbeebe1f88 temperature-humidity:4218b18a89d308 if:779565679cefec and:ab6c975f12d69 temperature-humidity:7df717dea5408 and:a67e8e567948b,9
1591870468000,d608eb37d412,temperature-humidity:947674cf94d418 if:f07f579e7ef8a and:efb07f53979d18 mqttout:e7cedbeebe1f88 temperature-humidity:4218b18a89d308 if:779565679cefec and:ab6c975f12d69 temperature-humidity:7df717dea5408 and:a67e8e567948b failure:231685e365b812 failure:5c3a652cda94c4,11
1591870473000,d608eb37d412,temperature-humidity:947674cf94d418 if:f07f579e7ef8a and:efb07f53979d18 mqttout:e7cedbeebe1f88 temperature-humidity:4218b18a89d308 if:779565679cefec and:ab6c975f12d69 temperature-humidity:7df717dea5408 and:a67e8e567948b failure:231685e365b812 failure:5c3a652cda94c4,11
1591870478000,d608eb37d412,temperature-humidity:947674cf94d418 if:f07f579e7ef8a and:efb07f53979d18 mqttout:e7cedbeebe1f88 temperature-humidity:4218b18a89d308 if:779565679cefec and:ab6c975f12d69 temperature-humidity:7df717dea5408 and:a67e8e567948b failure:231685e365b812 failure:5c3a652cda94c4,11
1591870483000,d608eb37d412,temperature-humidity:947674cf94d418 if:f07f579e7ef8a and:efb07f53979d18 mqttout:e7cedbeebe1f88 temperature-humidity:4218b18a89d308 if:779565679cefec and:ab6c975f12d69 temperature-humidity:7df717dea5408 and:a67e8e567948b failure:231685e365b812 failure:5c3a652cda94c4,11
1591870488000,d608eb37d412,temperature-humidity:947674cf94d418 if:f07f579e7ef8a and:efb07f53979d18 mqttout:e7cedbeebe1f88 temperature-humidity:4218b18a89d308 if:779565679cefec and:ab6c975f12d69 temperature-humidity:7df717dea5408 and:a67e8e567948b failure:231685e365b812 failure:5c3a652cda94c4,11
1591870493000,d608eb37d412,temperature-humidity:947674cf94d418 if:f07f579e7ef8a and:efb07f53979d18 mqttout:e7cedbeebe1f88 temperature-humidity:4218b18a89d308 if:779565679cefec and:ab6c975f12d69 temperature-humidity:7df717dea5408 and:a67e8e567948b failure:231685e365b812 failure:5c3a652cda94c4,11
