"Time","0c1fc2bd43ce","1edc5b28299f","363f08b924c2","5118fb10a251"
1591438517000,,,,
1591438518000,66211628,66211632,,66211632
1591438519000,,,,
1591438520000,,,66210952.00000001,
1591438521000,,,,
1591438522000,,,,
1591438523000,66210188.00000001,66210188.00000001,,66210188.00000001
1591438524000,,,,
1591438525000,,,66209460.00000001,
1591438526000,,,,
1591438527000,,,,
1591438528000,66208108.00000001,66208112,,66208084
1591438529000,,,,
1591438530000,,,66207592.00000001,
1591438531000,,,,
1591438532000,,,,
1591438533000,,,,66207496.00000001
1591438534000,66206836.00000001,66206844.00000001,,
1591438535000,,,,
1591438536000,,,66206108.00000001,
1591438537000,,,,
1591438538000,,,,66205504.00000001
1591438539000,66205504.00000001,66205504.00000001,,
1591438540000,,,,
1591438541000,,,66204780,
1591438542000,,,,
1591438543000,,,,
1591438544000,66203472.00000001,66203472.00000001,,66203480
1591438545000,,,,
1591438546000,,,66202884.00000002,
1591438547000,,,,
1591438548000,,,,
1591438549000,66202736.00000001,66202736.00000001,,66202736.00000001
1591438550000,,,,
1591438551000,,,66202696,
1591438552000,,,,
1591438553000,,,,
1591438554000,66202652.00000002,66202652.00000002,,66202652.00000002
1591438555000,,,,
1591438556000,,,66202576,
1591438557000,,,,
1591438558000,,,,
1591438559000,66202580.00000002,66202584.00000001,,66202592.00000001
1591438560000,,,,
1591438561000,,,,

