"Time","24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627455000,71523756.00000001,71523764.00000001,71523752.00000001,71523756.00000001
1591627456000,,,,
1591627457000,,,,
1591627458000,,,,
1591627459000,,,,
1591627460000,71521636.00000001,71521636.00000001,71521628.00000001,71521636.00000001
1591627461000,,,,
1591627462000,,,,
1591627463000,,,,
1591627464000,,,,
1591627465000,71520600.00000001,71520604.00000001,71520600.00000001,71520604.00000001
1591627466000,,,,
1591627467000,,,,
1591627468000,,,,
1591627469000,,,,
1591627470000,71518596.00000001,71518604.00000001,71518596.00000001,71518600.00000001
1591627471000,,,,
1591627472000,,,,
1591627473000,,,,
1591627474000,,,,
1591627475000,71517252.00000001,71517256.00000001,,71517252.00000001
1591627476000,,,71516516.00000001,
1591627477000,,,,
1591627478000,,,,
1591627479000,,,,
1591627480000,,71515192.00000001,,71515188.00000001
1591627481000,71515184,,71515180,
1591627482000,,,,
1591627483000,,,,
1591627484000,,,,
1591627485000,,71513112.00000001,,
1591627486000,71513104,,71513100.00000001,71513108.00000001
1591627487000,,,,
1591627488000,,,,
1591627489000,,,,
1591627490000,,,,
1591627491000,71511776,71511780.00000001,71511776,71511780.00000001
1591627492000,,,,
1591627493000,,,,
1591627494000,,,,
1591627495000,,,,
1591627496000,71509768.00000001,71509776.00000001,71509768.00000001,71509776.00000001
1591627497000,,,,
1591627498000,,,,
1591627499000,,,,
1591627500000,,,,
1591627501000,71508296.00000001,71508304.00000001,71508060,71508300.00000001
1591627502000,,,,
1591627503000,,,,
1591627504000,,,,
1591627505000,,,,
1591627506000,71506020.00000001,71506072,71506360,71506068.00000001
1591627507000,,,,
1591627508000,,,,
1591627509000,,,,
1591627510000,,,,
1591627511000,,71504836.00000001,,71504768
1591627512000,71504100.00000001,,71504100.00000001,
1591627513000,,,,
1591627514000,,,,
1591627515000,,,,
1591627516000,,71502920,,71502920
1591627517000,71502916.00000001,,71502912.00000001,
1591627518000,,,,
1591627519000,,,,
1591627520000,,,,
1591627521000,,,,
1591627522000,71501032.00000001,71501036,71501032.00000001,71501032.00000001
1591627523000,,,,
1591627524000,,,,
1591627525000,,,,
1591627526000,,,,
1591627527000,71499640.00000001,71499644.00000001,71499640.00000001,71499644.00000001
1591627528000,,,,
1591627529000,,,,
1591627530000,,,,
1591627531000,,,,
1591627532000,71497660.00000001,71497668.00000001,71497660.00000001,71497668.00000001
1591627533000,,,,
1591627534000,,,,
1591627535000,,,,
1591627536000,,,,
1591627537000,71496040.00000001,71496028.00000001,71496040.00000001,71496024.00000001
