"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770950500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770951000,,,,,,,,,1971136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987200,1972640,,,,,,,,,
1592770951500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770952000,,,,,,,1975200,1990560,,,,,,,,,,,,,,,,1446368,,,1973920,,,,,1966016,,,,,,,,,,,,,1972640,,,,,
1592770952500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770953000,1973920,,,,,,,,,,1974400,,,,,1975200,1974560,1963456,1975200,,,,,,,,,,,,1972640,,,1964800,1973920,1975200,,1976480,,,,,,,,,,,,
1592770953500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770954000,,1982656,,1973920,1972000,,,,,,,,1971936,,1972640,,,,,1972640,,1972640,1972640,,,1973920,,1971360,1973920,1969376,,,,,,,1971360,,1973920,,,1972480,1973920,1973920,,1989920,,1963680,1973920,
1592770954500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770955000,,,1975200,,,1997408,,,,1973920,,1973920,,1973920,,,,,,,1974560,,,,1973920,,,,,,,,1973920,,,,,,,,,,,,,,1972864,,,1973920
1592770955500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770956000,,,,,,,,,1964320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770956500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770957000,,,,,,,,1983520,,,,,,,,,,,,,,,,1997184,,,1963680,,,,,1953664,,,,,,,,1979680,1964960,,,,1966240,,,,,
1592770957500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770958000,1967360,,,,,,1966240,,,,1967296,,,,,1967520,1966656,1953408,1968800,,,,,,,,,,,,,,,,1966240,1966240,,1968800,,,,,,,,,,,,
1592770958500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770959000,,1978112,,1966080,1966016,,,,,,,,,,1966240,,,,,1966240,,,1965600,,,1966016,,1965600,1966240,1963680,1967520,,,,,,1963680,,1966880,,,1967296,1966656,1966656,,,,1955488,1967360,
1592770959500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770960000,,,1967360,,,1989728,,,,1967296,,1966880,1965376,1967520,,,,,,,1967296,1966240,,,1966720,,,,,,,,1967520,,,,,,,,,,,,,1980256,1966880,,,1967296
1592770960500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770961000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770961500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770962000,,,,,,,,,1952352,,,,,,,,,,,,,,,1989728,,,1954656,,,,,1946848,,,,,,,,1971360,1956896,,,,1957056,,,,,
1592770962500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770963000,1957280,,,,,,1958560,1973920,,,1958400,,,,,1959840,,1947072,1959840,,,,,,,,,,,,,,,,1959200,1959840,,1962240,,,,,,,,,,,,
1592770963500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770964000,,2007424,,1956640,,,,,,,,,,,,,,,,1955936,,,1955200,,,1955360,,,1957280,,1956000,,,,,,,,1956480,,,,1956640,1955936,,,,1946432,1957280,
1592770964500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770965000,,,1959840,,1955296,1980480,,,,1958560,,1958336,1956000,1959840,1956000,,,,,,1958976,1957120,,,1958400,,,1955840,,1953440,,,1959200,1979648,,,1954272,,,,,1958560,,,,1973920,1957280,,,1958560
1592770965500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770966000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770966500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770967000,,,,,,,,,1946432,,,,,,,,,,,,,,,1978784,,,1946656,,,,,,,,,,,,,1962400,1950272,,,,1949152,,,,,
