"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770958000,37860828.00000001,,,,,,37860848.00000001,37860848.00000001,,,37860836.00000001,,,,,37860844,37860844,37860836.00000001,37860832,,,,,,,,,,,,,,,,37860836.00000001,37860836.00000001,,37860848.00000001,,,,,,,,,,,,
1592770958500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770959000,,37860804,,37860792.00000001,,,,,,,,,,,37860772.00000001,,,,,37860780,,,37860764.00000001,,,37860804,,,37860796,,37860800.00000001,,,,,,,,37860796,,,,37860780,37860784.00000001,,,,37860776,37860780,
1592770959500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770960000,,,37860724,,37860764.00000001,37860764.00000001,,,,37860752.00000001,,37860748,37860764.00000001,37860744,,,,,,,37860748,37860764.00000001,,,37860736,,,37860764.00000001,,37860764.00000001,,,37860712.00000001,37860680,,,37860764.00000001,,,,,37860764.00000001,,,,37860764.00000001,37860756,,,37860744
1592770960500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770961000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770961500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770962000,,,,,,,,,37860708.00000001,,,,,,,,,,,,,,,37860704,,,37860708.00000001,,,,,,,,,,,,,37860712.00000001,37860712.00000001,,,,37860708.00000001,,,,,
1592770962500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770963000,37860684,,,,,,,37860700,,,37860688.00000001,,,,,37860692.00000001,,37860688.00000001,,,,,,,,,,,,,,37860700,,,37860688.00000001,37860684,,37860696.00000001,,,,,,,,,,,,
1592770963500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770964000,,37860668,,37860660,,,,,,,,,,,,,,,,37860664,,,37860664,,,37860668,,,37860672,,37860676.00000001,,,,,,,,,,,,37860664,37860664,,,,37860660,37860664,
1592770964500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770965000,,,37860632.00000001,,37860648.00000001,37860616,37860700,,,37860640.00000001,,,37860648.00000001,37860640.00000001,37860652,,37860616,,37860684,,37860644,37860648.00000001,,,37860640.00000001,,,37860648.00000001,,37860648.00000001,,,37860616,37860616,,,37860648.00000001,,,,,37860648.00000001,,,,37860648.00000001,37860644,,,37860644
1592770965500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770966000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37860612.00000001,,,,,,,,,,,
1592770966500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770967000,,,,,,,,,37860612.00000001,,,37860640.00000001,,,,,,,,,,,,37860612.00000001,,,37860612.00000001,,,,,,,,,,,,,37860608.00000001,37860608.00000001,,,,37860616,,,,,
1592770967500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770968000,37860592,,,,,,,37860604,,,37860596,,,,,37860604,,37860596,,,,,,,,,,,,,,37860608.00000001,,,37860592,37860592,,37860604,,,,,,,,,,,,
1592770968500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770969000,,37860556.00000001,,,,,,,,,,,,,,,,,,,,,37860556.00000001,,,37860556.00000001,,,37860560,,37860560,,,,,,,,,,,,37860552.00000001,37860556.00000001,,,,,,
1592770969500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770970000,,,37860524,37860540,37860540,,37860536.00000001,,,37860528,,,37860536.00000001,37860528,37860540,,37860508,,,37860548,37860532.00000001,37860536.00000001,,,37860528,,,37860536.00000001,,37860536.00000001,,,37860516,37860508,,,37860540,,,,,37860536.00000001,,,,37860536.00000001,37860536.00000001,37860524,37860548,37860528
1592770970500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770971000,,,,,,37860504,,,,,,,,,,,,,37860504,,,,,,,,,,,,,,,,,,,,37860500,,,,,,,,,,,
1592770971500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770972000,,,,,,,,,37860492.00000001,,,37860492.00000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,37860488.00000001,37860488.00000001,,,,37860492.00000001,,,,,
1592770972500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770973000,,,,,,,,37860480.00000001,,,37860472.00000001,,,,,37860476.00000001,,37860472.00000001,,,,,,37860484,,,37860488.00000001,,,,,37860484,,,37860472.00000001,,,37860480.00000001,,,,,,,,,,,,
1592770973500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770974000,37860468.00000001,37860448.00000001,,,,,,,,,,,,,,,,,,,,,,,,37860448.00000001,,,37860460.00000001,,37860464,,,,,37860468.00000001,,,,,,,,,,,,,,
1592770974500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770975000,,,37860404.00000001,37860436,37860424,,37860416,,,37860408,,,37860420.00000001,37860408,37860424,,37860396.00000001,,,37860440,37860416,37860420.00000001,37860444,,37860408,,,37860420.00000001,,37860420.00000001,,,37860396.00000001,37860396.00000001,,,37860424,,,,,37860420.00000001,37860440,37860444,,37860420.00000001,37860420.00000001,37860432,37860440,37860412.00000001
1592770975500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770976000,,,,,,37860388,,,,,,,,,,,,,37860388,,,,,,,,,,,,,,,,,,,,37860388,,,,,,,,,,,
1592770976500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770977000,,,,,,,,,37860380,,,37860380,,,,,,,,,,,,,,,,,,,,,,,,,,,,37860376,37860376,,,,37860372.00000001,,,,,
1592770977500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770978000,,,,,,,,37854944.00000001,,,,,,,,,,,,,,,,37860360,,,37860364,,,,,37857256,,,,,,37843440,,,,,,,,,,,,
1592770978500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770979000,37825300.00000001,,,,,,,,,,37830292.00000001,,,,,37834924,,37829284,,,,,,,,,,,37797992.00000001,,37807176.00000001,,,,37828292.00000001,37828228,,,,,,,,,,,,,,
1592770979500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
