"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592771007000,,,,,,,,,,,,,,,,,,,103200,,,,,,,,,,,,,,,,,,,,136640,,,,,,,,,,,
1592771007500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771008000,,,,,,,,,88224,,,91264,,,,,,,,,,,,,,,,106720,,,,,,,,,,,,138880,81888,,,,87584,,,,,
1592771008500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771009000,,,,,,,,164832,,,84896,,,,,87808,,,,,,,,101088,,,90176,,,,,135168,,,80256,84864,,89696,,,,,,,,,,,,
1592771009500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771010000,,83968,,,,,,,,,,,,,,,,,,,,,88960,,,82176,,,84064,,86784,,,,,,,,,,,,,,,,,,,
1592771010500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771011000,,,128384,85120,83904,,73472,,,128960,,,129440,132128,88544,,77856,114944,,87424,127936,129056,,,128800,,,,,84576,,,127776,113280,,,94304,,,,,129216,82976,82432,,112416,130496,88672,84480,130080
1592771011500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771012000,74336,,,,,89152,,,,,,,,,,,,,76768,,,,,,,,,,,,,,,,,,,,83712,,,,,,,,,,,
1592771012500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771013000,,,,,,,,,103712,,,95744,,,,,,,,,,,,,,,,82656,,,,,,,,,,,,75808,97376,,,,102912,,,,,
1592771013500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771014000,,,,,,,,84960,,,,,,,,,,,,,,,,107904,,,82560,,,,,124512,,,,,,111488,,,,,,,,,,,,
1592771014500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771015000,,,,,,,,,,,107776,,,,,99200,,,,,,,,,,,,,96544,,99328,,,,96832,97024,,,,,,,,,,,,,,
1592771015500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771016000,,103840,71232,96352,99680,,86208,,,73856,,,74016,72736,105792,,,,,81792,69344,72512,108192,,72512,98656,,,,102272,,,72512,,,,112864,,,,,72512,79328,94400,,118592,74016,93792,71872,72512
1592771016500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771017000,79808,,,,,94336,,,,,,,,,,,91136,103584,89984,,,,,,,,,,,,,,,100928,,,,,89248,,,,,,,,,,,
1592771017500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771018000,,,,,,,,,116448,,,64640,,,,,,,,,,,,,,,,91392,,,,,,,,,,,,93024,112512,,,,,,,,,
1592771018500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771019000,,,,,,,,98304,,,,,,,,,,,,,,,,115584,,,98784,,,,,139680,,,,,,114176,,,,,,,116992,,,,,
1592771019500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771020000,,,,,,,,,,,87136,,,,,112480,,,,,,,,,,,,,,,113824,,,,85312,91968,,,,,,,,,,,,,,
1592771020500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771021000,,80736,,101696,113120,,,,,80352,,,80192,80352,112416,,,,,96096,79072,80192,87616,,80992,71744,,,108480,118336,,,,,,,116256,,,,,80416,99744,89920,,128320,81472,107872,87008,80192
