"Time","Device","Duration","State"
1592771148000,172.20.0.16,9,0
1592771166000,172.20.0.16,10286,0
1592771174000,172.20.0.16,20002,0
1592771184000,172.20.0.16,311,0
1592771187000,172.20.0.16,248,0
1592771188000,172.20.0.16,273,0
1592771206000,172.20.0.16,370,0
1592771214000,172.20.0.16,712,0
1592771218000,172.20.0.16,504,0
1592771233000,172.20.0.16,327,1
1592771235000,172.20.0.16,337,0
1592771236000,172.20.0.16,370,0
1592771237000,172.20.0.16,443,1
1592771239000,172.20.0.16,563,0
1592771240000,172.20.0.16,550,0
1592771243000,172.20.0.16,20,0
1592771244000,172.20.0.16,327,0
1592771259000,172.20.0.16,20001,0
1592771265000,172.20.0.16,339,1
1592771271000,172.20.0.16,572,0
1592770981000,172.20.0.17,388,1
1592771012000,172.20.0.17,351,1
1592771071000,172.20.0.17,20011,0
1592771099000,172.20.0.17,319,1
1592771100000,172.20.0.17,344,1
1592771101000,172.20.0.17,363,1
1592771102000,172.20.0.17,703,1
1592771103000,172.20.0.17,664,1
1592771104000,172.20.0.17,1084,1
1592771105000,172.20.0.17,1099,0
1592771106000,172.20.0.17,1240,0
1592771107000,172.20.0.17,1432,0
1592771108000,172.20.0.17,693,0
1592771112000,172.20.0.17,325,1
1592771113000,172.20.0.17,321,1
1592771116000,172.20.0.17,20003,0
1592771117000,172.20.0.17,297,1
1592771118000,172.20.0.17,343,1
1592771119000,172.20.0.17,20031,0
1592771129000,172.20.0.17,10085,0
1592771148000,172.20.0.17,261,0
1592771174000,172.20.0.17,20023,0
1592771187000,172.20.0.17,328,0
1592771188000,172.20.0.17,323,0
1592771206000,172.20.0.17,376,1
1592771225000,172.20.0.17,20004,0
1592771228000,172.20.0.17,20004,0
1592771229000,172.20.0.17,20001,0
1592770981000,172.20.0.18,304,1
1592771012000,172.20.0.18,330,1
1592771052000,172.20.0.18,298,1
1592771072000,172.20.0.18,337,1
1592771099000,172.20.0.18,328,1
1592771100000,172.20.0.18,404,0
1592771101000,172.20.0.18,499,0
1592771102000,172.20.0.18,699,1
1592771104000,172.20.0.18,1082,1
1592771105000,172.20.0.18,1120,0
1592771106000,172.20.0.18,1309,0
1592771107000,172.20.0.18,1388,0
1592771108000,172.20.0.18,1011,0
1592771112000,172.20.0.18,342,1
1592771114000,172.20.0.18,20010,0
1592771115000,172.20.0.18,20001,0
1592771116000,172.20.0.18,20007,0
1592771117000,172.20.0.18,314,1
1592771118000,172.20.0.18,302,0
1592771119000,172.20.0.18,20033,0
1592771121000,172.20.0.18,20026,0
1592771122000,172.20.0.18,418,1
1592771127000,172.20.0.18,20003,0
1592771148000,172.20.0.18,335,1
1592771168000,172.20.0.18,298,1
1592771169000,172.20.0.18,53,0
1592771171000,172.20.0.18,37,0
1592771172000,172.20.0.18,264,1
1592771174000,172.20.0.18,284,0
1592771175000,172.20.0.18,25,0
1592771176000,172.20.0.18,19,0
1592771177000,172.20.0.18,266,0
1592771178000,172.20.0.18,271,0
1592771179000,172.20.0.18,40,0
1592771180000,172.20.0.18,140,0
1592771182000,172.20.0.18,284,0
1592771183000,172.20.0.18,5,0
1592771184000,172.20.0.18,332,1
1592771187000,172.20.0.18,245,0
1592771188000,172.20.0.18,277,0
1592771190000,172.20.0.18,20004,0
1592771192000,172.20.0.18,20001,0
1592771204000,172.20.0.18,321,0
1592771214000,172.20.0.18,655,0
1592771218000,172.20.0.18,481,0
1592771219000,172.20.0.18,375,0
1592771220000,172.20.0.18,96,0
1592770981000,172.20.0.19,383,1
1592771012000,172.20.0.19,291,1
1592771071000,172.20.0.19,20008,0
1592771098000,172.20.0.19,293,1
1592771099000,172.20.0.19,336,1
1592771100000,172.20.0.19,395,1
1592771101000,172.20.0.19,188,0
1592771102000,172.20.0.19,698,1
1592771104000,172.20.0.19,1090,1
1592771105000,172.20.0.19,1055,0
1592771106000,172.20.0.19,1255,0
1592771107000,172.20.0.19,1426,0
1592771108000,172.20.0.19,510,0
1592771112000,172.20.0.19,287,1
1592771116000,172.20.0.19,20002,0
1592771117000,172.20.0.19,317,1
1592771118000,172.20.0.19,332,1
1592771120000,172.20.0.19,328,0
1592771121000,172.20.0.19,119,0
1592771122000,172.20.0.19,369,0
1592771123000,172.20.0.19,258,0
1592771124000,172.20.0.19,317,0
1592771125000,172.20.0.19,25,0
1592771126000,172.20.0.19,349,1
1592771127000,172.20.0.19,1020,0
1592771138000,172.20.0.19,20100,0
1592771141000,172.20.0.19,20025,0
1592771147000,172.20.0.19,10,0
1592771148000,172.20.0.19,267,0
1592771174000,172.20.0.19,20016,0
1592771205000,172.20.0.19,349,0
1592771225000,172.20.0.19,20002,0
1592771228000,172.20.0.19,20002,0
1592770981000,172.20.0.20,345,1
1592771012000,172.20.0.20,295,1
1592771071000,172.20.0.20,20019,0
1592771100000,172.20.0.20,336,1
1592771101000,172.20.0.20,490,0
1592771102000,172.20.0.20,691,1
1592771104000,172.20.0.20,1051,1
1592771105000,172.20.0.20,1120,0
1592771106000,172.20.0.20,1178,0
1592771107000,172.20.0.20,1389,0
1592771108000,172.20.0.20,685,0
1592771116000,172.20.0.20,20031,0
1592771117000,172.20.0.20,315,1
1592771119000,172.20.0.20,20045,0
1592771121000,172.20.0.20,20035,0
1592771122000,172.20.0.20,20012,0
1592771123000,172.20.0.20,20008,0
1592771124000,172.20.0.20,20001,0
1592771126000,172.20.0.20,20001,0
1592771149000,172.20.0.20,274,1
1592771151000,172.20.0.20,13,0
1592771152000,172.20.0.20,16,0
1592771153000,172.20.0.20,398,0
1592771154000,172.20.0.20,461,0
1592771155000,172.20.0.20,268,0
1592771156000,172.20.0.20,512,0
1592771158000,172.20.0.20,477,1
1592771159000,172.20.0.20,388,0
1592771168000,172.20.0.20,305,1
1592771169000,172.20.0.20,370,0
1592771170000,172.20.0.20,383,1
1592771177000,172.20.0.20,20016,0
1592771183000,172.20.0.20,10296,0
1592771205000,172.20.0.20,348,0
1592771210000,172.20.0.20,279,0
1592771214000,172.20.0.20,685,1
1592771215000,172.20.0.20,343,0
1592771219000,172.20.0.20,359,0
1592771222000,172.20.0.20,317,0
1592771224000,172.20.0.20,274,0
1592771225000,172.20.0.20,29,0
1592771229000,172.20.0.20,20006,0
1592771230000,172.20.0.20,20007,0
1592770981000,172.20.0.21,307,1
1592771012000,172.20.0.21,292,1
1592771052000,172.20.0.21,312,1
1592771072000,172.20.0.21,327,1
1592771100000,172.20.0.21,308,0
1592771101000,172.20.0.21,80,0
