"Time","05a1edad2fbe","475b23bd6fe1","61e1d49d0982","6501f2170a37"
1591462485000,,,,
1591462486000,,,,
1591462487000,69327596.00000001,,,
1591462488000,,,,
1591462489000,,,,69326924.00000001
1591462490000,,,,
1591462491000,,,,
1591462492000,69326308,,,
1591462493000,,,69326224.00000001,
1591462494000,,,,69325512.00000001
1591462495000,,,,
1591462496000,,,,
1591462497000,,,,
1591462498000,69324084,,69323996.00000001,
1591462499000,,,,69323436
1591462500000,,,,
1591462501000,,,,
1591462502000,,,,
1591462503000,69322776.00000001,,69322740.00000001,
1591462504000,,,,
1591462505000,,,,69322048.00000001
1591462506000,,,,
1591462507000,,,,
1591462508000,69320756.00000001,,69320752,
1591462509000,,,,
1591462510000,,,,69320096.00000001
1591462511000,,,,
1591462512000,,,,
1591462513000,69319284.00000001,,69318636.00000001,
1591462514000,,,,
1591462515000,,,,69318628.00000001
1591462516000,,,,
1591462517000,,,,
1591462518000,69317444.00000001,,69317444.00000001,
1591462519000,,,,
1591462520000,,,,69316784.00000001
1591462521000,,,,
1591462522000,,,,
1591462523000,69315456.00000001,,,
1591462524000,,,69315456.00000001,
1591462525000,,,,69314800.00000001
1591462526000,,,,
1591462527000,,,,
1591462528000,,,,
1591462529000,69314116.00000001,,69314112.00000001,
1591462530000,,,,69313456
1591462531000,,,,
1591462532000,,,,
1591462533000,,,,
1591462534000,69312148.00000001,,,
1591462535000,,,,
1591462536000,,,,69311492.00000001
1591462537000,,,,
1591462538000,,,,
1591462539000,69310684.00000001,,,
1591462540000,,,,
1591462541000,,,,69310080.00000001
1591462542000,,,,
1591462543000,,,,
1591462544000,69308756,,,
1591462545000,,,,
1591462546000,,,,69308100.00000001
1591462547000,,,,
1591462548000,,,,
1591462549000,69307252.00000001,,,
1591462550000,,,,
1591462551000,,,,69306796.00000001
1591462552000,,,,
1591462553000,,,,
1591462554000,69305296.00000001,,,
1591462555000,,,,
1591462556000,,,,69304640.00000001
1591462557000,,,,
1591462558000,,,,
1591462559000,69303408.00000001,,,
1591462560000,,,,
1591462561000,,,,69302736.00000001
1591462562000,,,,
1591462563000,,,,
1591462564000,,,,
1591462565000,69302080,,,
1591462566000,,,,69301408.00000001
1591462567000,,,,
1591462568000,,,,
1591462569000,,,,
1591462570000,69300084.00000001,,,
1591462571000,,,,
1591462572000,,,,69299364.00000001
1591462573000,,,,
1591462574000,,,,
1591462575000,69298540.00000001,,,
1591462576000,,,,
1591462577000,,,,69297932.00000001
1591462578000,,,,
1591462579000,,,,
1591462580000,69296680.00000001,,,
1591462581000,,,,
1591462582000,,,,69295964.00000001
1591462583000,,,,
1591462584000,,,,
1591462585000,69294612.00000001,,,
1591462586000,,,,
1591462587000,,,,69294544.00000001
1591462588000,,,,
1591462589000,,,,
1591462590000,69293220.00000001,,,
1591462591000,,,,
1591462592000,,,,69291940.00000001
1591462593000,,,,
1591462594000,,,,
1591462595000,,,,
1591462596000,69278172.00000001,,,
1591462597000,,,,69271056.00000001
1591462598000,,,,
1591462599000,,,,
1591462600000,,,,
1591462601000,69269236.00000001,,,
1591462602000,,,,
1591462603000,,,,69268532.00000001
1591462604000,,,,
1591462605000,,,,
1591462606000,69267156.00000001,,,
1591462607000,,,,
1591462608000,,,,69266404.00000001
1591462609000,,,,
1591462610000,,,,
1591462611000,69265428,,,
1591462612000,,,,
1591462613000,,,,69264764
1591462614000,,,,
1591462615000,,,,
1591462616000,69264552.00000001,,,
1591462617000,,,,
1591462618000,,,,69264544.00000001
1591462619000,,,,
1591462620000,,,,
1591462621000,69264564.00000001,,,
1591462622000,,,,
1591462623000,,,,69264568
1591462624000,,,,
1591462625000,,,,
1591462626000,69265224.00000001,,,
1591462627000,,,,
1591462628000,,,,69265096
1591462629000,,,,
1591462630000,,,,
1591462631000,,,,
1591462632000,69264988.00000001,,,
1591462633000,,,,
1591462634000,,,,69265248
1591462635000,,,,
1591462636000,,,,
1591462637000,69265276,,,
1591462638000,,,,
1591462639000,,,,69265232.00000001
1591462640000,,,,
1591462641000,,,,
1591462642000,69265180.00000001,,,
1591462643000,,,,
1591462644000,,,,69265216
1591462645000,,,,
1591462646000,,,,
1591462647000,69265156.00000001,,,
1591462648000,,,,
1591462649000,,,,69265164.00000001
1591462650000,,,,
1591462651000,,,,
1591462652000,69265160.00000001,,,
1591462653000,,,,
1591462654000,,,,69265144.00000001
1591462655000,,,,
1591462656000,,,,
1591462657000,69264952.00000001,,,
1591462658000,,,,
1591462659000,,,,69264984.00000001
1591462660000,,,,
1591462661000,,,,

