"Time","7148523d94bd","aece112a7432","d608eb37d412","ee41be874475"
1591870495000,,,,
1591870495200,,,,
1591870495400,,,,
1591870495600,,,,
1591870495800,,,,
1591870496000,,,,
1591870496200,,,,
1591870496400,,,,
1591870496600,,,,
1591870496800,,,,
1591870497000,,,,
1591870497200,,,,
1591870497400,,,,
1591870497600,,,,
1591870497800,,,,
1591870498000,,,,108992
1591870498200,,,,
1591870498400,,,,
1591870498600,,,,
1591870498800,,,,
1591870499000,104608,139936,107776,
1591870499200,,,,
1591870499400,,,,
1591870499600,,,,
1591870499800,,,,
1591870500000,,,,
1591870500200,,,,
1591870500400,,,,
1591870500600,,,,
1591870500800,,,,
1591870501000,,,,
1591870501200,,,,
1591870501400,,,,
1591870501600,,,,
1591870501800,,,,
1591870502000,,,,
1591870502200,,,,
1591870502400,,,,
1591870502600,,,,
1591870502800,,,,
1591870503000,,,,
1591870503200,,,,
1591870503400,,,,
1591870503600,,,,
1591870503800,,,,
1591870504000,116768,153312,121856,123072
1591870504200,,,,
1591870504400,,,,
1591870504600,,,,
1591870504800,,,,
1591870505000,,,,
1591870505200,,,,
1591870505400,,,,
1591870505600,,,,
1591870505800,,,,
1591870506000,,,,
1591870506200,,,,
1591870506400,,,,
1591870506600,,,,
1591870506800,,,,
1591870507000,,,,
1591870507200,,,,
1591870507400,,,,
1591870507600,,,,
1591870507800,,,,
1591870508000,,,,
1591870508200,,,,
1591870508400,,,,
1591870508600,,,,
1591870508800,,,,
1591870509000,92448,135520,104096,136512
1591870509200,,,,
1591870509400,,,,
1591870509600,,,,
1591870509800,,,,
1591870510000,,,,
1591870510200,,,,
1591870510400,,,,
1591870510600,,,,
1591870510800,,,,
1591870511000,,,,
1591870511200,,,,
1591870511400,,,,
1591870511600,,,,
1591870511800,,,,
1591870512000,,,,
1591870512200,,,,
1591870512400,,,,
1591870512600,,,,
1591870512800,,,,
1591870513000,,,,
1591870513200,,,,
1591870513400,,,,
1591870513600,,,,
1591870513800,,,,
1591870514000,119744,163328,109920,104288
1591870514200,,,,
1591870514400,,,,
1591870514600,,,,
1591870514800,,,,
1591870515000,,,,
1591870515200,,,,
1591870515400,,,,
1591870515600,,,,
1591870515800,,,,
1591870516000,,,,
1591870516200,,,,
1591870516400,,,,
1591870516600,,,,
1591870516800,,,,
1591870517000,,,,
1591870517200,,,,
1591870517400,,,,
1591870517600,,,,
1591870517800,,,,
1591870518000,,,,
1591870518200,,,,
1591870518400,,,,
1591870518600,,,,
1591870518800,,,,
1591870519000,140160,182560,129216,107296
1591870519200,,,,
1591870519400,,,,
1591870519600,,,,
1591870519800,,,,
1591870520000,,,,
1591870520200,,,,
1591870520400,,,,
1591870520600,,,,
1591870520800,,,,
1591870521000,,,,
1591870521200,,,,
1591870521400,,,,
1591870521600,,,,
1591870521800,,,,
1591870522000,,,,
1591870522200,,,,
1591870522400,,,,
1591870522600,,,,
1591870522800,,,,
1591870523000,,,,
1591870523200,,,,
1591870523400,,,,
1591870523600,,,,
1591870523800,,,,
1591870524000,167328,198848,155488,122080
1591870524200,,,,
1591870524400,,,,
1591870524600,,,,
1591870524800,,,,
1591870525000,,,,
1591870525200,,,,
1591870525400,,,,
1591870525600,,,,
1591870525800,,,,
1591870526000,,,,
1591870526200,,,,
1591870526400,,,,
1591870526600,,,,
1591870526800,,,,
1591870527000,,,,
1591870527200,,,,
1591870527400,,,,
1591870527600,,,,
1591870527800,,,,
1591870528000,,,,
1591870528200,,,,
1591870528400,,,,
1591870528600,,,,
1591870528800,,,,
1591870529000,,,101952,106368
1591870529200,,,,
1591870529400,,,,
1591870529600,,,,
1591870529800,,,,
1591870530000,99488,130976,,
1591870530200,,,,
1591870530400,,,,
1591870530600,,,,
1591870530800,,,,
1591870531000,,,,
1591870531200,,,,
1591870531400,,,,
1591870531600,,,,
1591870531800,,,,
1591870532000,,,,
1591870532200,,,,
1591870532400,,,,
1591870532600,,,,
1591870532800,,,,
1591870533000,,,,
1591870533200,,,,
1591870533400,,,,
1591870533600,,,,
1591870533800,,,,
1591870534000,,,,129248
1591870534200,,,,
1591870534400,,,,
1591870534600,,,,
1591870534800,,,,
1591870535000,110848,156896,130720,
1591870535200,,,,
1591870535400,,,,
1591870535600,,,,
1591870535800,,,,
1591870536000,,,,
1591870536200,,,,
1591870536400,,,,
1591870536600,,,,
1591870536800,,,,
1591870537000,,,,
1591870537200,,,,
1591870537400,,,,
1591870537600,,,,
1591870537800,,,,
1591870538000,,,,
1591870538200,,,,
1591870538400,,,,
1591870538600,,,,
1591870538800,,,,
1591870539000,,,,
1591870539200,,,,
1591870539400,,,,
1591870539600,,,,
1591870539800,,,,
1591870540000,91968,179200,152896,150240
1591870540200,,,,
1591870540400,,,,
1591870540600,,,,
1591870540800,,,,
1591870541000,,,,
1591870541200,,,,
1591870541400,,,,
1591870541600,,,,
1591870541800,,,,
1591870542000,,,,
1591870542200,,,,
1591870542400,,,,
1591870542600,,,,
1591870542800,,,,
1591870543000,,,,
1591870543200,,,,
1591870543400,,,,
1591870543600,,,,
1591870543800,,,,
1591870544000,,,,
1591870544200,,,,
1591870544400,,,,
1591870544600,,,,
1591870544800,,,,
1591870545000,101728,143872,110080,169600
1591870545200,,,,
1591870545400,,,,
1591870545600,,,,
1591870545800,,,,
1591870546000,,,,
1591870546200,,,,
1591870546400,,,,
1591870546600,,,,
1591870546800,,,,
1591870547000,,,,
1591870547200,,,,
1591870547400,,,,
1591870547600,,,,
1591870547800,,,,
1591870548000,,,,
1591870548200,,,,
1591870548400,,,,
1591870548600,,,,
1591870548800,,,,
1591870549000,,,,
1591870549200,,,,
1591870549400,,,,
1591870549600,,,,
1591870549800,,,,
1591870550000,115584,160192,111104,85152
1591870550200,,,,
1591870550400,,,,
1591870550600,,,,
1591870550800,,,,
1591870551000,,,,
1591870551200,,,,
1591870551400,,,,
1591870551600,,,,
1591870551800,,,,

